date,D,H,X,Y,Z
1957-06-12,NA,NA,NA,NA,NA
1957-06-13,NA,NA,NA,NA,NA
1957-06-14,NA,NA,NA,NA,NA
1957-06-15,NA,NA,NA,NA,NA
1957-06-16,NA,NA,NA,NA,NA
1957-06-17,NA,NA,NA,NA,NA
1957-06-18,NA,NA,NA,NA,NA
1957-06-19,NA,NA,NA,NA,NA
1957-06-20,NA,NA,NA,NA,NA
1957-06-21,NA,NA,NA,NA,NA
1957-06-22,NA,NA,NA,NA,NA
1957-06-23,NA,NA,NA,NA,NA
1957-06-24,NA,NA,NA,NA,NA
1957-06-25,NA,NA,NA,NA,NA
1957-06-26,NA,NA,NA,NA,NA
1957-06-27,NA,NA,NA,NA,NA
1957-06-28,NA,NA,NA,NA,NA
1957-06-29,NA,NA,NA,NA,NA
1957-06-30,NA,NA,NA,NA,NA
1957-07-01,-3.945,22280.0,22227.208699581108,-1532.838355882941,NA
1957-07-02,-3.9783333333333335,22325.0,22271.204734966846,-1548.891427179561,NA
1957-07-03,-3.9766666666666666,22334.0,22280.22811234828,-1548.8677353878604,NA
1957-07-04,-3.9833333333333334,22353.0,22299.001844271683,-1552.7800066873733,NA
1957-07-05,-3.9783333333333335,22335.0,22281.180638543537,-1549.585219532161,NA
1957-07-06,-3.9583333333333335,22341.0,22287.705875456722,-1542.2217120543764,NA
1957-07-07,-4.0,22361.0,22306.52972785993,-1559.8245093923858,NA
1957-07-08,-3.9916666666666667,22371.0,22316.732101055557,-1557.2762535004977,NA
1957-07-09,-3.9966666666666666,22371.0,22316.596118089976,-1559.223749835602,NA
1957-07-10,-4.003333333333333,22370.0,22315.416983111485,-1561.7505786326997,NA
1957-07-11,-3.9966666666666666,22369.0,22314.600981876298,-1559.0843529601975,NA
1957-07-12,-3.993333333333333,22364.0,22309.703787163537,-1557.4379374539983,NA
1957-07-13,-4.005,22366.0,22311.381312351226,-1562.1203330295907,NA
1957-07-14,-4.001666666666667,22375.0,22320.45021325662,-1561.4503762632448,NA
1957-07-15,-3.993333333333333,22367.0,22312.69650364366,-1557.6468586582714,NA
1957-07-16,-4.0,22364.0,22309.522420010708,-1560.0337788136183,NA
1957-07-17,-3.985,22365.0,22310.927653637285,-1554.262601416871,NA
1957-07-18,-3.9883333333333333,22364.0,22309.83961431383,-1555.491042595032,NA
1957-07-19,-3.98,22353.0,22299.09214361353,-1551.482700720003,NA
1957-07-20,-3.9766666666666666,22340.0,22286.213666600725,-1549.283836686881,NA
1957-07-21,-3.9883333333333333,22361.0,22306.846879613287,-1555.282382555335,NA
1957-07-22,-3.9883333333333333,22364.0,22309.83961431383,-1555.491042595032,NA
1957-07-23,-3.98,22353.0,22299.09214361353,-1551.482700720003,NA
1957-07-24,-3.9966666666666666,22365.0,22310.610709448945,-1558.8055592093888,NA
1957-07-25,-3.9833333333333334,22370.0,22315.96077736132,-1553.9609336373883,NA
1957-07-26,-3.993333333333333,22382.0,22327.66008604428,-1558.6914646796365,NA
1957-07-27,-4.0,22388.0,22333.463957216944,-1561.7079341834772,NA
1957-07-28,-4.008333333333334,22392.0,22337.226795361286,-1565.23579456702,NA
1957-07-29,-4.003333333333333,22375.0,22320.404783063008,-1562.0996511804494,NA
1957-07-30,-3.9966666666666666,22374.0,22319.588822410493,-1559.4328451487083,NA
1957-07-31,-3.985,22378.0,22323.89622325487,-1555.1660404429572,NA
1957-08-01,-3.986666666666667,22379.0,22324.848556120036,-1555.8849399313501,NA
1957-08-02,-3.9883333333333333,22380.0,22325.80086605006,-1556.6038961400832,NA
1957-08-03,-3.9766666666666666,22383.0,22329.11013874324,-1552.265895996529,NA
1957-08-04,-3.975,22372.0,22318.18174456551,-1550.8538346803823,NA
1957-08-05,-3.97,22377.0,22323.304999301756,-1549.2523707095884,NA
1957-08-06,-3.9833333333333334,22360.0,22305.984934367418,-1553.2662707256147,NA
1957-08-07,-3.9783333333333335,22359.0,22305.122807127602,-1551.2503211784012,NA
1957-08-08,-3.9966666666666666,22374.0,22319.588822410493,-1559.4328451487083,NA
1957-08-09,-3.9966666666666666,22387.0,22332.557207799397,-1560.3389248388369,NA
1957-08-10,-3.993333333333333,22374.0,22319.67950876395,-1558.1343414682417,NA
1957-08-11,-4.0,22384.0,22329.473701015904,-1561.4289082885007,NA
1957-08-12,-4.0,22382.0,22327.478572915385,-1561.2893953410126,NA
1957-08-13,-3.9983333333333335,22357.0,22302.584827562336,-1558.8967282621281,NA
1957-08-14,-3.9916666666666667,22364.0,22309.74908175792,-1556.7889738181186,NA
1957-08-15,-3.986666666666667,22365.0,22310.882432531598,-1554.9115993370858,NA
1957-08-16,-3.986666666666667,22368.0,22313.87517330055,-1555.120172321571,NA
1957-08-17,-4.003333333333333,22376.0,22321.402343053313,-1562.1694656899995,NA
1957-08-18,-3.993333333333333,22373.0,22318.68193660391,-1558.0647010668174,NA
1957-08-19,-3.986666666666667,22362.0,22307.889691762644,-1554.7030263526008,NA
1957-08-20,-3.99,22363.0,22308.796781264828,-1556.0704265000356,NA
1957-08-21,-3.9816666666666665,22347.0,22293.061485458915,-1551.714730724782,NA
1957-08-22,-3.975,22371.0,22317.18415017321,-1550.7845134826941,NA
1957-08-23,-3.995,22383.0,22328.612306234965,-1559.4106187442999,NA
1957-08-24,-3.993333333333333,22379.0,22324.667369564155,-1558.4825434753636,NA
1957-08-25,-3.9916666666666667,22378.0,22323.71512035319,-1557.763533182877,NA
1957-08-26,-3.9883333333333333,22371.0,22316.82266194843,-1555.9779160209919,NA
1957-08-27,-3.98,22374.0,22320.041498734357,-1552.9402740531182,NA
1957-08-28,-4.003333333333333,22368.0,22313.421863130876,-1561.6109496135998,NA
1957-08-29,-3.9783333333333335,22374.0,22320.086662492642,-1552.2910097073013,NA
1957-08-30,-3.9583333333333335,NA,NA,NA,NA
1957-08-31,-3.9583333333333335,NA,NA,NA,NA
1957-09-01,-3.9783333333333335,22355.0,22301.132445696923,-1550.9728042373613,NA
1957-09-02,-4.02,22345.0,22290.023253172534,-1566.489187012728,NA
1957-09-03,-3.9633333333333334,22270.0,22216.741003786676,-1539.259292862602,NA
1957-09-04,-3.95,22274.0,22221.089102298796,-1534.3647244699343,NA
1957-09-05,-3.865,22222.0,22171.459191272115,-1497.8922957793893,NA
1957-09-06,-3.9583333333333335,22298.0,22244.808451319725,-1539.2533787828872,NA
1957-09-07,-3.9766666666666666,22335.0,22281.225704723685,-1548.9370856043638,NA
1957-09-08,-3.9816666666666665,22353.0,22299.04700337688,-1552.1313543603637,NA
1957-09-09,-3.9883333333333333,22357.0,22302.85656667923,-1555.0041691690724,NA
1957-09-10,-3.9816666666666665,22362.0,22308.025280253827,-1552.7562898137367,NA
1957-09-11,-3.9766666666666666,22362.0,22308.160698859683,-1550.8095414499567,NA
1957-09-12,-3.993333333333333,22373.0,22318.68193660391,-1558.0647010668174,NA
1957-09-13,-3.915,22237.0,22185.108588126877,-1518.2641183334972,NA
1957-09-14,-3.95,22281.0,22228.0724741097,-1534.8469258289758,NA
1957-09-15,-3.955,22328.0,22274.826519681574,-1540.0284147023185,NA
1957-09-16,-3.9616666666666664,22350.0,22296.59460939021,-1544.1401570166995,NA
1957-09-17,-3.986666666666667,22357.0,22302.90179048106,-1554.355404711792,NA
1957-09-18,-3.98,22370.0,22316.05114537801,-1552.6626410372867,NA
1957-09-19,-3.986666666666667,22373.0,22318.863074582132,-1555.4677939623798,NA
1957-09-20,-3.9916666666666667,22376.0,22321.71997198244,-1557.6243104164828,NA
1957-09-21,-3.9816666666666665,22337.0,22283.085622262308,-1551.020357998812,NA
1957-09-22,-3.9483333333333333,22284.0,22231.10999123614,-1534.406907427347,NA
1957-09-23,-3.905,22223.0,22171.405740550646,-1513.4386303639421,NA
1957-09-24,-3.9466666666666668,22299.0,22246.11904417346,-1534.7926480351807,NA
1957-09-25,-3.9683333333333333,22332.0,22278.457945467282,-1545.488780951107,NA
1957-09-26,-3.9783333333333335,22351.0,22297.14208426625,-1550.695287296321,NA
1957-09-27,-3.973333333333333,22354.0,22300.2701122822,-1548.9573652148463,NA
1957-09-28,-3.9816666666666665,22361.0,22307.027693934167,-1552.6868525411396,NA
1957-09-29,-3.945,22291.0,22238.18263565361,-1533.5951432220213,NA
1957-09-30,-3.91,22280.0,22228.140910078473,-1519.2602415964707,NA
1957-10-01,-3.97,22331.0,22277.415379157505,-1546.0676002286195,NA
1957-10-02,-3.9716666666666667,22343.0,22289.3415775316,-1547.5467812383338,NA
1957-10-03,-3.973333333333333,22340.0,22286.303762565283,-1547.9872747114462,NA
1957-10-04,-3.96,22343.0,22289.656229628854,-1543.0081545369687,NA
1957-10-05,-3.9816666666666665,22358.0,22304.034934975185,-1552.4785407233487,NA
1957-10-06,-3.975,22357.0,22303.21782868099,-1549.8140167150593,NA
1957-10-07,-3.99,22374.0,22319.770119573368,-1556.8358325140543,NA
1957-10-08,-3.9916666666666667,22375.0,22320.72239779706,-1557.5546990332857,NA
1957-10-09,-3.9766666666666666,22368.0,22314.14625311213,-1551.2256427489774,NA
1957-10-10,-3.97,22350.0,22296.369787477954,-1547.3830489055415,NA
1957-10-11,-3.965,22339.0,22285.531065989144,-1544.6766997766206,NA
1957-10-12,-3.973333333333333,22350.0,22296.279726648794,-1548.680196499589,NA
1957-10-13,-3.94,22347.0,22294.18402931637,-1535.5023500388743,NA
1957-10-14,-3.9516666666666667,22331.0,22277.90894482733,-1538.9392600042813,NA
1957-10-15,-3.966666666666667,22339.0,22285.486123736777,-1545.324958944103,NA
1957-10-16,-3.9766666666666666,22367.0,22313.148660736722,-1551.156292532474,NA
1957-10-17,-3.9883333333333333,22390.0,22335.776648385203,-1557.29942960574,NA
1957-10-18,-3.986666666666667,22393.0,22338.814679708474,-1556.8582805256144,NA
1957-10-19,-3.985,22389.0,22334.869628315904,-1555.9304888496456,NA
1957-10-20,-3.9833333333333334,22377.0,22322.943867457052,-1554.4471976756297,NA
1957-10-21,-3.9816666666666665,22365.0,22311.01803921281,-1552.9646016315276,NA
1957-10-22,-3.96,22337.0,22283.670554590688,-1542.5937943826823,NA
1957-10-23,-3.9616666666666664,22349.0,22295.596998893143,-1544.0710679716428,NA
1957-10-24,-3.9766666666666666,22354.0,22300.179959856425,-1550.2547397179292,NA
1957-10-25,-3.975,22367.0,22313.193772604005,-1550.5072286919415,NA
1957-10-26,-3.9716666666666667,22372.0,22318.27193181475,-1549.555412874905,NA
1957-10-27,-3.985,22378.0,22323.89622325487,-1555.1660404429572,NA
1957-10-28,-3.9683333333333333,22366.0,22312.376428816104,-1547.8417550936979,NA
1957-10-29,-3.9633333333333334,22366.0,22312.511418531332,-1545.8946270392887,NA
1957-10-30,-3.96,22357.0,22303.622804717914,-1543.9749948969704,NA
1957-10-31,-3.9783333333333335,22377.0,22323.07943356565,-1552.4991474130813,NA
1957-11-01,-3.98,22379.0,22325.029440429793,-1553.2873153229075,NA
1957-11-02,-3.98,22387.0,22333.01014714249,-1553.8425813545703,NA
1957-11-03,-3.975,22361.0,22307.208206250194,-1550.0913015058122,NA
1957-11-04,-3.9716666666666667,22374.0,22320.267128661864,-1549.6939391946685,NA
1957-11-05,-3.9833333333333334,22379.0,22324.939036055832,-1554.5861302579845,NA
1957-11-06,-3.97,22370.0,22316.321796236323,-1548.767731723354,NA
1957-11-07,-3.9483333333333333,22316.0,22263.034040765826,-1536.6103278652251,NA
1957-11-08,-3.975,22339.0,22285.261129619565,-1548.5662351566718,NA
1957-11-09,-3.9433333333333334,22323.0,22270.15147841232,-1535.1488945928102,NA
1957-11-10,-3.953333333333333,22330.0,22276.866548938437,-1539.5183535079123,NA
1957-11-11,-3.965,22339.0,22285.531065989144,-1544.6766997766206,NA
1957-11-12,-3.97,22337.0,22283.400981785016,-1546.4830050739633,NA
1957-11-13,-3.9716666666666667,22352.0,22298.319963343612,-1548.1701496772696,NA
1957-11-14,-3.986666666666667,22369.0,22314.872753556865,-1555.1896966497327,NA
1957-11-15,-3.973333333333333,22360.0,22306.255690732305,-1549.373118287732,NA
1957-11-16,-3.975,22369.0,22315.188961388605,-1550.6458710873178,NA
1957-11-17,-3.9766666666666666,22377.0,22323.124584490797,-1551.8497946975083,NA
1957-11-18,-3.9766666666666666,22349.0,22295.19199797939,-1549.907988635412,NA
1957-11-19,-3.9633333333333334,22344.0,22290.564031819013,-1544.374029623798,NA
1957-11-20,-3.975,22358.0,22304.215423073292,-1549.8833379127477,NA
1957-11-21,-3.9783333333333335,22356.0,22302.130036054594,-1551.0421834726212,NA
1957-11-22,-3.9766666666666666,22363.0,22309.158291235093,-1550.87889166646,NA
1957-11-23,-3.986666666666667,22371.0,22316.8679140695,-1555.3287453060564,NA
1957-11-24,-3.986666666666667,22377.0,22322.853395607402,-1555.7458912750267,NA
1957-11-25,-3.9683333333333333,22348.0,22294.41958469026,-1546.5960629005615,NA
1957-11-26,-3.9433333333333334,22333.0,22280.127803941334,-1535.836592883628,NA
1957-11-27,-3.9266666666666667,22297.0,22244.65812752234,-1526.8902349724751,NA
1957-11-28,-3.953333333333333,22320.0,22266.89034358737,-1538.8289140303002,NA
1957-11-29,-3.9683333333333333,22346.0,22292.424379787386,-1546.4576526568796,NA
1957-11-30,-3.973333333333333,22362.0,22308.250883549008,-1549.5117026453606,NA
1957-12-01,-3.941666666666667,22348.0,22295.13698848427,-1536.2196017238364,NA
1957-12-02,-3.9583333333333335,22342.0,22288.703489971536,-1542.2907430606901,NA
1957-12-03,-3.96,22345.0,22291.65145464158,-1543.1462745883975,NA
1957-12-04,-3.9583333333333335,22355.0,22301.672478664117,-1543.1881461427681,NA
1957-12-05,-3.9433333333333334,22338.0,22285.11596670584,-1536.180442029037,NA
1957-12-06,-3.95,22328.0,22274.960827697203,-1538.084563525397,NA
1957-12-07,-3.955,22344.0,22290.78841614856,-1541.1319821797117,NA
1957-12-08,-3.95,22358.0,22304.889564029654,-1540.151140778432,NA
1957-12-09,-3.953333333333333,22352.0,22298.81420071079,-1541.035120358659,NA
1957-12-10,-3.9466666666666668,22350.0,22296.998100241126,-1538.3028693477866,NA
1957-12-11,-3.96,22351.0,22297.637129679744,-1543.560634742684,NA
1957-12-12,-3.9266666666666667,22336.0,22283.566575608333,-1529.560940411051,NA
1957-12-13,-3.955,22357.0,22303.757457027987,-1542.028630755094,NA
1957-12-14,-3.96,22368.0,22314.596542287887,-1544.734655179829,NA
1957-12-15,-3.9566666666666666,22366.0,22312.691140498915,-1543.2984379896116,NA
1957-12-16,-3.96,22370.0,22316.591767300608,-1544.8727752312577,NA
1957-12-17,-3.9433333333333334,22358.0,22305.06861776386,-1537.555838610673,NA
1957-12-18,-3.9516666666666667,22363.0,22309.832866113185,-1541.1445377043458,NA
1957-12-19,-3.9633333333333334,22363.0,22309.51859307056,-1545.6872728462672,NA
1957-12-20,-3.941666666666667,22349.0,22296.134623037182,-1536.2883425329344,NA
1957-12-21,-3.9516666666666667,22358.0,22304.84475341227,-1540.7999630637107,NA
1957-12-22,-3.9483333333333333,22355.0,22301.941476130134,-1539.295746523889,NA
1957-12-23,-3.9566666666666666,22364.0,22310.695907454072,-1543.1604340159024,NA
1957-12-24,-3.96,22374.0,22320.582217326053,-1545.1490153341153,NA
1957-12-25,-3.95,22363.0,22309.877686751726,-1540.4955703206044,NA
1957-12-26,-3.95,22351.0,22297.906192218747,-1539.6689394193904,NA
1957-12-27,-3.9516666666666667,22356.0,22302.849508331907,-1540.6621332074567,NA
1957-12-28,-3.9566666666666666,22369.0,22315.683990066183,-1543.5054439501753,NA
1957-12-29,-3.953333333333333,22376.0,22322.75709355336,-1542.6897751049282,NA
1957-12-30,-3.9516666666666667,22354.0,22300.85426325154,-1540.5243033512027,NA
1957-12-31,-3.93,22295.0,22242.57396194557,-1528.0472988036095,NA
1958-01-01,-3.908333333333333,22275.0,22223.19672228391,-1518.2728485584548,NA
1958-01-02,-3.9366666666666665,22303.0,22250.37713938629,-1531.184559442742,NA
1958-01-03,-3.9516666666666667,22331.0,22277.90894482733,-1538.9392600042813,NA
1958-01-04,-3.9583333333333335,22349.0,22295.686791575234,-1542.773960104886,NA
1958-01-05,-3.9516666666666667,22352.0,22298.859018171173,-1540.3864734949486,NA
1958-01-06,-3.966666666666667,22365.0,22311.423839803618,-1547.123537615151,NA
1958-01-07,-3.9683333333333333,22370.0,22316.36683862185,-1548.1185755810614,NA
1958-01-08,-3.9716666666666667,22376.0,22322.26232550898,-1549.832465514432,NA
1958-01-09,-3.9816666666666665,22371.0,22317.003557130774,-1553.3812252671094,NA
1958-01-10,-3.953333333333333,22355.0,22301.80706231611,-1541.2419522019427,NA
1958-01-11,-3.96,22358.0,22304.620417224272,-1544.0440549226848,NA
1958-01-12,-3.9583333333333335,22354.0,22300.674864149303,-1543.1191151364544,NA
1958-01-13,-3.955,22361.0,22307.747931144735,-1542.3045226244421,NA
1958-01-14,-3.9583333333333335,22358.0,22304.66532220856,-1543.3952391617092,NA
1958-01-15,-3.9583333333333335,22353.0,22299.67724963449,-1543.0500841301407,NA
1958-01-16,-3.9583333333333335,22363.0,22309.653394782625,-1543.7403941932778,NA
1958-01-17,-3.95,22355.0,22301.896690396406,-1539.9444830531284,NA
1958-01-18,-3.9483333333333333,22339.0,22285.97945136529,-1538.19403630495,NA
1958-01-19,-3.9466666666666668,22349.0,22296.00047169078,-1538.2340414789119,NA
1958-01-20,-3.965,22370.0,22316.456866743236,-1546.8202593671606,NA
1958-01-21,-3.9283333333333332,22344.0,22291.50327723731,-1530.7572116173112,NA
1958-01-22,-3.953333333333333,22352.0,22298.81420071079,-1541.035120358659,NA
1958-01-23,-3.9483333333333333,22350.0,22296.95334339112,-1538.9514620804705,NA
1958-01-24,-3.955,22359.0,22305.75269408636,-1542.166576689768,NA
1958-01-25,-3.96,22355.0,22301.62757970519,-1543.8368748455416,NA
1958-01-26,-3.9483333333333333,22348.0,22294.958090295513,-1538.8137483031032,NA
1958-01-27,-3.9466666666666668,22360.0,22306.97438574459,-1538.9911480365326,NA
1958-01-28,-3.95,22374.0,22320.85155674029,-1541.2533153133838,NA
1958-01-29,-3.945,22377.0,22323.978863129556,-1539.5118442366502,NA
1958-01-30,-3.95,22379.0,22325.839679462366,-1541.5977448555564,NA
1958-01-31,-3.96,22391.0,22337.541629934192,-1546.3230357712603,NA
1958-02-01,-3.9566666666666666,22386.0,22332.64347094736,-1544.6784777267032,NA
1958-02-02,-3.96,22391.0,22337.541629934192,-1546.3230357712603,NA
1958-02-03,-3.9566666666666666,22397.0,22343.61725269401,-1545.4374995821036,NA
1958-02-04,-3.9516666666666667,22398.0,22344.749655019594,-1543.556560188791,NA
1958-02-05,-3.93,22372.0,22319.39289870582,-1533.3246992076408,NA
1958-02-06,-3.935,22362.0,22309.28258045237,-1534.5861805465258,NA
1958-02-07,-3.93,22372.0,22319.39289870582,-1533.3246992076408,NA
1958-02-08,-3.925,22373.0,22320.524276048814,-1531.4454095120675,NA
1958-02-09,-3.9383333333333335,22369.0,22316.17673394579,-1536.3648587807668,NA
1958-02-10,-3.9433333333333334,22365.0,22312.05204563417,-1538.0372274142453,NA
1958-02-11,NA,22242.0,NA,NA,NA
1958-02-12,-3.8866666666666667,22300.0,22248.71177726345,-1511.5635124793207,NA
1958-02-13,-3.9366666666666665,22353.0,22300.259166780335,-1534.6172468826442,NA
1958-02-14,-3.93,22357.0,22304.428170765514,-1532.2966341938684,NA
1958-02-15,-3.9466666666666668,22375.0,22321.938813999786,-1540.0235660696521,NA
1958-02-16,-3.966666666666667,22392.0,22338.359160334567,-1548.991292388932,NA
1958-02-17,-3.94,22375.0,22322.11785277459,-1537.426280132448,NA
1958-02-18,-3.933333333333333,22360.0,22307.33192123566,-1533.8000377561054,NA
1958-02-19,-3.9283333333333332,22357.0,22304.47273403126,-1531.6478240300853,NA
1958-02-20,-3.913333333333333,22350.0,22297.889275159498,-1525.3307420776237,NA
1958-02-21,-3.9316666666666666,22343.0,22290.416537133133,-1531.9855094294314,NA
1958-02-22,NA,22353.0,NA,NA,NA
1958-02-23,-3.9183333333333334,22351.0,22298.75374250187,-1527.344928710838,NA
1958-02-24,-3.941666666666667,22359.0,22306.110968566307,-1536.9757506239152,NA
1958-02-25,-3.9433333333333334,22374.0,22321.03073861028,-1538.6561558759815,NA
1958-02-26,-3.9433333333333334,22379.0,22326.018901374784,-1539.0000050213905,NA
1958-02-27,-3.945,22373.0,22319.988340921373,-1539.236648840621,NA
1958-02-28,-3.9483333333333333,22360.0,22306.929608869148,-1539.6400309673074,NA
1958-03-01,-3.955,22361.0,22307.747931144735,-1542.3045226244421,NA
1958-03-02,-3.9566666666666666,22372.0,22318.67683963345,-1543.712449910739,NA
