D,F,X,Y,Z,date
NA,NA,NA,NA,NA,1979-03-13
NA,NA,NA,NA,NA,1979-03-14
NA,NA,NA,NA,NA,1979-03-15
NA,NA,NA,NA,NA,1979-03-16
NA,NA,NA,NA,NA,1979-03-17
NA,NA,NA,NA,NA,1979-03-18
NA,NA,NA,NA,NA,1979-03-19
NA,NA,NA,NA,NA,1979-03-20
NA,NA,NA,NA,NA,1979-03-21
NA,NA,NA,NA,NA,1979-03-22
NA,NA,NA,NA,NA,1979-03-23
NA,NA,NA,NA,NA,1979-03-24
NA,NA,NA,NA,NA,1979-03-25
NA,NA,NA,NA,NA,1979-03-26
NA,NA,NA,NA,NA,1979-03-27
NA,NA,NA,NA,NA,1979-03-28
NA,NA,NA,NA,NA,1979-03-29
NA,NA,NA,NA,NA,1979-03-30
NA,NA,NA,NA,NA,1979-03-31
NA,NA,NA,NA,NA,1979-04-01
NA,NA,NA,NA,NA,1979-04-02
NA,NA,NA,NA,NA,1979-04-03
NA,NA,NA,NA,NA,1979-04-04
NA,NA,NA,NA,NA,1979-04-05
NA,NA,NA,NA,NA,1979-04-06
NA,NA,NA,NA,NA,1979-04-07
NA,NA,NA,NA,NA,1979-04-08
NA,NA,NA,NA,NA,1979-04-09
NA,NA,NA,NA,NA,1979-04-10
NA,NA,NA,NA,NA,1979-04-11
NA,NA,NA,NA,NA,1979-04-12
NA,NA,NA,NA,NA,1979-04-13
NA,NA,NA,NA,NA,1979-04-14
NA,NA,NA,NA,NA,1979-04-15
NA,NA,NA,NA,NA,1979-04-16
NA,NA,NA,NA,NA,1979-04-17
NA,NA,NA,NA,NA,1979-04-18
NA,NA,NA,NA,NA,1979-04-19
NA,NA,NA,NA,NA,1979-04-20
NA,NA,NA,NA,NA,1979-04-21
NA,NA,NA,NA,NA,1979-04-22
NA,NA,NA,NA,NA,1979-04-23
NA,NA,NA,NA,NA,1979-04-24
NA,NA,NA,NA,NA,1979-04-25
NA,NA,NA,NA,NA,1979-04-26
NA,NA,NA,NA,NA,1979-04-27
NA,NA,NA,NA,NA,1979-04-28
NA,NA,NA,NA,NA,1979-04-29
NA,NA,NA,NA,NA,1979-04-30
NA,NA,NA,NA,NA,1979-05-01
NA,NA,NA,NA,NA,1979-05-02
NA,NA,NA,NA,NA,1979-05-03
NA,NA,NA,NA,NA,1979-05-04
NA,NA,NA,NA,NA,1979-05-05
NA,NA,NA,NA,NA,1979-05-06
NA,NA,NA,NA,NA,1979-05-07
NA,NA,NA,NA,NA,1979-05-08
NA,NA,NA,NA,NA,1979-05-09
NA,NA,NA,NA,NA,1979-05-10
NA,NA,NA,NA,NA,1979-05-11
NA,NA,NA,NA,NA,1979-05-12
NA,NA,NA,NA,NA,1979-05-13
NA,NA,NA,NA,NA,1979-05-14
NA,NA,NA,NA,NA,1979-05-15
NA,NA,NA,NA,NA,1979-05-16
NA,NA,NA,NA,NA,1979-05-17
NA,NA,NA,NA,NA,1979-05-18
NA,NA,NA,NA,NA,1979-05-19
NA,NA,NA,NA,NA,1979-05-20
NA,NA,NA,NA,NA,1979-05-21
NA,NA,NA,NA,NA,1979-05-22
NA,NA,NA,NA,NA,1979-05-23
NA,NA,NA,NA,NA,1979-05-24
NA,NA,NA,NA,NA,1979-05-25
NA,NA,NA,NA,NA,1979-05-26
NA,NA,NA,NA,NA,1979-05-27
NA,NA,NA,NA,NA,1979-05-28
NA,NA,NA,NA,NA,1979-05-29
NA,NA,NA,NA,NA,1979-05-30
NA,NA,NA,NA,NA,1979-05-31
NA,NA,NA,NA,NA,1979-06-01
NA,NA,NA,NA,NA,1979-06-02
NA,NA,NA,NA,NA,1979-06-03
NA,NA,NA,NA,NA,1979-06-04
NA,NA,NA,NA,NA,1979-06-05
NA,NA,NA,NA,NA,1979-06-06
NA,NA,NA,NA,NA,1979-06-07
NA,NA,NA,NA,NA,1979-06-08
NA,NA,NA,NA,NA,1979-06-09
NA,NA,NA,NA,NA,1979-06-10
NA,NA,NA,NA,NA,1979-06-11
NA,NA,NA,NA,NA,1979-06-12
NA,NA,NA,NA,NA,1979-06-13
NA,NA,NA,NA,NA,1979-06-14
NA,NA,NA,NA,NA,1979-06-15
NA,NA,NA,NA,NA,1979-06-16
NA,NA,NA,NA,NA,1979-06-17
NA,NA,NA,NA,NA,1979-06-18
NA,NA,NA,NA,NA,1979-06-19
NA,NA,NA,NA,NA,1979-06-20
NA,NA,NA,NA,NA,1979-06-21
NA,NA,NA,NA,NA,1979-06-22
NA,NA,NA,NA,NA,1979-06-23
NA,NA,NA,NA,NA,1979-06-24
NA,NA,NA,NA,NA,1979-06-25
NA,NA,NA,NA,NA,1979-06-26
NA,NA,NA,NA,NA,1979-06-27
NA,NA,NA,NA,NA,1979-06-28
NA,NA,NA,NA,NA,1979-06-29
NA,NA,NA,NA,NA,1979-06-30
NA,NA,NA,NA,NA,1979-07-01
NA,NA,NA,NA,NA,1979-07-02
NA,NA,NA,NA,NA,1979-07-03
NA,NA,NA,NA,NA,1979-07-04
NA,NA,NA,NA,NA,1979-07-05
NA,NA,NA,NA,NA,1979-07-06
NA,NA,NA,NA,NA,1979-07-07
NA,NA,NA,NA,NA,1979-07-08
NA,NA,NA,NA,NA,1979-07-09
NA,NA,NA,NA,NA,1979-07-10
NA,NA,NA,NA,NA,1979-07-11
NA,NA,NA,NA,NA,1979-07-12
NA,NA,NA,NA,NA,1979-07-13
NA,NA,NA,NA,NA,1979-07-14
NA,NA,NA,NA,NA,1979-07-15
NA,NA,NA,NA,NA,1979-07-16
NA,NA,NA,NA,NA,1979-07-17
NA,NA,NA,NA,NA,1979-07-18
NA,NA,NA,NA,NA,1979-07-19
NA,NA,NA,NA,NA,1979-07-20
NA,NA,NA,NA,NA,1979-07-21
NA,NA,NA,NA,NA,1979-07-22
NA,NA,NA,NA,NA,1979-07-23
NA,NA,NA,NA,NA,1979-07-24
NA,NA,NA,NA,NA,1979-07-25
NA,NA,NA,NA,NA,1979-07-26
NA,NA,NA,NA,NA,1979-07-27
NA,NA,NA,NA,NA,1979-07-28
NA,NA,NA,NA,NA,1979-07-29
NA,NA,NA,NA,NA,1979-07-30
NA,NA,NA,NA,NA,1979-07-31
NA,NA,NA,NA,NA,1979-08-01
NA,NA,NA,NA,NA,1979-08-02
NA,NA,NA,NA,NA,1979-08-03
NA,NA,NA,NA,NA,1979-08-04
NA,NA,NA,NA,NA,1979-08-05
NA,NA,NA,NA,NA,1979-08-06
NA,NA,NA,NA,NA,1979-08-07
NA,NA,NA,NA,NA,1979-08-08
NA,NA,NA,NA,NA,1979-08-09
NA,NA,NA,NA,NA,1979-08-10
NA,NA,NA,NA,NA,1979-08-11
NA,NA,NA,NA,NA,1979-08-12
NA,NA,NA,NA,NA,1979-08-13
NA,NA,NA,NA,NA,1979-08-14
NA,NA,NA,NA,NA,1979-08-15
NA,NA,NA,NA,NA,1979-08-16
NA,NA,NA,NA,NA,1979-08-17
NA,NA,NA,NA,NA,1979-08-18
NA,NA,NA,NA,NA,1979-08-19
NA,NA,NA,NA,NA,1979-08-20
NA,NA,NA,NA,NA,1979-08-21
NA,NA,NA,NA,NA,1979-08-22
NA,NA,NA,NA,NA,1979-08-23
NA,NA,NA,NA,NA,1979-08-24
NA,NA,NA,NA,NA,1979-08-25
NA,NA,NA,NA,NA,1979-08-26
NA,NA,NA,NA,NA,1979-08-27
NA,NA,NA,NA,NA,1979-08-28
NA,NA,NA,NA,NA,1979-08-29
NA,NA,NA,NA,NA,1979-08-30
NA,NA,NA,NA,NA,1979-08-31
NA,58820.0,NA,NA,NA,1979-09-01
NA,NA,NA,NA,NA,1979-09-02
NA,58821.0,NA,NA,NA,1979-09-03
NA,NA,NA,NA,NA,1979-09-04
NA,58820.0,NA,NA,NA,1979-09-05
NA,58821.0,NA,NA,NA,1979-09-06
NA,58821.0,NA,NA,NA,1979-09-07
NA,58824.0,NA,NA,NA,1979-09-08
NA,58823.0,NA,NA,NA,1979-09-09
NA,58822.0,NA,NA,NA,1979-09-10
NA,58821.0,NA,NA,NA,1979-09-11
NA,58823.0,NA,NA,NA,1979-09-12
NA,58824.0,NA,NA,NA,1979-09-13
NA,58825.0,NA,NA,NA,1979-09-14
NA,58819.0,NA,NA,NA,1979-09-15
NA,58820.0,NA,NA,NA,1979-09-16
NA,58821.0,NA,NA,NA,1979-09-17
NA,58812.0,NA,NA,NA,1979-09-18
NA,58822.0,NA,NA,NA,1979-09-19
NA,58819.0,NA,NA,NA,1979-09-20
NA,58821.0,NA,NA,NA,1979-09-21
NA,58824.0,NA,NA,NA,1979-09-22
NA,58821.0,NA,NA,NA,1979-09-23
NA,58821.0,NA,NA,NA,1979-09-24
NA,58819.0,NA,NA,NA,1979-09-25
NA,58817.0,NA,NA,NA,1979-09-26
NA,58818.0,NA,NA,NA,1979-09-27
NA,58818.0,NA,NA,NA,1979-09-28
NA,58815.0,NA,NA,NA,1979-09-29
NA,58819.0,NA,NA,NA,1979-09-30
12.101666666666667,58816.0,NA,NA,NA,1979-10-01
12.091666666666667,58821.0,NA,NA,NA,1979-10-02
12.111666666666666,58823.0,NA,NA,NA,1979-10-03
12.093333333333334,58822.0,NA,NA,NA,1979-10-04
12.098333333333333,58818.0,NA,NA,NA,1979-10-05
12.081666666666667,58814.0,NA,NA,NA,1979-10-06
12.088333333333333,58820.0,NA,NA,NA,1979-10-07
12.111666666666666,58813.0,NA,NA,NA,1979-10-08
12.096666666666668,58819.0,NA,NA,NA,1979-10-09
12.098333333333333,58821.0,NA,NA,NA,1979-10-10
12.095,58820.0,NA,NA,NA,1979-10-11
12.091666666666667,58819.0,NA,NA,NA,1979-10-12
12.113333333333333,58822.0,NA,NA,NA,1979-10-13
12.096666666666668,58826.0,NA,NA,NA,1979-10-14
12.09,NA,NA,NA,NA,1979-10-15
12.096666666666668,58822.0,NA,NA,NA,1979-10-16
12.101666666666667,58820.0,NA,NA,NA,1979-10-17
12.11,58822.0,NA,NA,NA,1979-10-18
12.091666666666667,58823.0,NA,NA,NA,1979-10-19
12.095,58820.0,NA,NA,NA,1979-10-20
12.096666666666668,58821.0,NA,NA,NA,1979-10-21
12.101666666666667,58818.0,NA,NA,NA,1979-10-22
12.096666666666668,58820.0,NA,NA,NA,1979-10-23
12.096666666666668,58817.0,NA,NA,NA,1979-10-24
12.105,58821.0,NA,NA,NA,1979-10-25
12.1,58818.0,NA,NA,NA,1979-10-26
NA,NA,NA,NA,NA,1979-10-27
NA,NA,NA,NA,NA,1979-10-28
NA,NA,NA,NA,NA,1979-10-29
NA,NA,NA,NA,NA,1979-10-30
NA,NA,NA,NA,NA,1979-10-31
NA,NA,NA,NA,NA,1979-11-01
12.105,58817.0,NA,NA,NA,1979-11-02
12.1,58825.0,NA,NA,NA,1979-11-03
12.091666666666667,58821.0,NA,NA,NA,1979-11-04
12.1,58817.0,NA,NA,NA,1979-11-05
12.1,58820.0,NA,NA,NA,1979-11-06
12.1,58817.0,NA,NA,NA,1979-11-07
12.113333333333333,58821.0,NA,NA,NA,1979-11-08
12.085,58822.0,NA,NA,NA,1979-11-09
12.1,58818.0,NA,NA,NA,1979-11-10
12.1,58816.0,NA,NA,NA,1979-11-11
12.086666666666666,58816.0,NA,NA,NA,1979-11-12
12.105,58819.0,NA,NA,NA,1979-11-13
12.105,58814.0,NA,NA,NA,1979-11-14
12.113333333333333,58820.0,NA,NA,NA,1979-11-15
12.108333333333333,58823.0,NA,NA,NA,1979-11-16
12.1,58824.0,NA,NA,NA,1979-11-17
12.101666666666667,58815.0,NA,NA,NA,1979-11-18
12.095,58820.0,NA,NA,NA,1979-11-19
12.091666666666667,58822.0,NA,NA,NA,1979-11-20
NA,NA,NA,NA,NA,1979-11-21
12.115,58821.0,NA,NA,NA,1979-11-22
12.105,58819.0,NA,NA,NA,1979-11-23
12.091666666666667,58821.0,NA,NA,NA,1979-11-24
12.106666666666667,58814.0,NA,NA,NA,1979-11-25
12.095,58822.0,NA,NA,NA,1979-11-26
12.093333333333334,58821.0,NA,NA,NA,1979-11-27
12.106666666666667,58819.0,NA,NA,NA,1979-11-28
12.091666666666667,58820.0,NA,NA,NA,1979-11-29
12.095,58830.0,NA,NA,NA,1979-11-30
12.093333333333334,58819.0,NA,NA,NA,1979-12-01
12.1,58824.0,NA,NA,NA,1979-12-02
12.105,58822.0,NA,NA,NA,1979-12-03
12.073333333333334,58819.0,NA,NA,NA,1979-12-04
12.086666666666666,58815.0,NA,NA,NA,1979-12-05
12.115,58819.0,NA,NA,NA,1979-12-06
12.096666666666668,58820.0,NA,NA,NA,1979-12-07
12.1,58824.0,NA,NA,NA,1979-12-08
12.1,58823.0,NA,NA,NA,1979-12-09
12.1,58821.0,NA,NA,NA,1979-12-10
12.106666666666667,58819.0,NA,NA,NA,1979-12-11
12.103333333333333,58822.0,NA,NA,NA,1979-12-12
12.091666666666667,58819.0,NA,NA,NA,1979-12-13
12.1,NA,NA,NA,NA,1979-12-14
12.103333333333333,58816.0,NA,NA,NA,1979-12-15
12.098333333333333,58815.0,NA,NA,NA,1979-12-16
12.113333333333333,58816.0,NA,NA,NA,1979-12-17
12.103333333333333,58814.0,NA,NA,NA,1979-12-18
12.11,58817.0,NA,NA,NA,1979-12-19
12.106666666666667,58818.0,NA,NA,NA,1979-12-20
12.088333333333333,58816.0,NA,NA,NA,1979-12-21
12.11,58816.0,NA,NA,NA,1979-12-22
12.116666666666667,58815.0,NA,NA,NA,1979-12-23
12.108333333333333,58818.0,NA,NA,NA,1979-12-24
12.108333333333333,58822.0,NA,NA,NA,1979-12-25
12.098333333333333,58822.0,NA,NA,NA,1979-12-26
12.101666666666667,58818.0,NA,NA,NA,1979-12-27
12.108333333333333,58814.0,NA,NA,NA,1979-12-28
12.086666666666666,58813.0,NA,NA,NA,1979-12-29
12.095,58814.0,NA,NA,NA,1979-12-30
NA,NA,NA,NA,NA,1979-12-31
12.123333333333333,58813.0,NA,NA,NA,1980-01-01
12.1,58814.0,NA,NA,NA,1980-01-02
12.095,58822.0,NA,NA,NA,1980-01-03
12.118333333333334,58816.0,NA,NA,NA,1980-01-04
12.105,58820.0,NA,NA,NA,1980-01-05
12.098333333333333,58818.0,NA,NA,NA,1980-01-06
12.118333333333334,58819.0,NA,NA,NA,1980-01-07
12.116666666666667,58823.0,NA,NA,NA,1980-01-08
12.121666666666666,58818.0,NA,NA,NA,1980-01-09
12.106666666666667,58816.0,NA,NA,NA,1980-01-10
12.11,58814.0,NA,NA,NA,1980-01-11
12.11,58814.0,NA,NA,NA,1980-01-12
12.098333333333333,58811.0,NA,NA,NA,1980-01-13
12.111666666666666,58813.0,NA,NA,NA,1980-01-14
12.111666666666666,58816.0,NA,NA,NA,1980-01-15
12.123333333333333,58815.0,NA,NA,NA,1980-01-16
12.125,58818.0,NA,NA,NA,1980-01-17
12.111666666666666,58818.0,NA,NA,NA,1980-01-18
12.13,58816.0,NA,NA,NA,1980-01-19
12.111666666666666,58817.0,NA,NA,NA,1980-01-20
12.123333333333333,58815.0,NA,NA,NA,1980-01-21
12.12,58818.0,NA,NA,NA,1980-01-22
12.13,58815.0,NA,NA,NA,1980-01-23
12.111666666666666,58819.0,NA,NA,NA,1980-01-24
12.116666666666667,58815.0,NA,NA,NA,1980-01-25
12.116666666666667,58817.0,NA,NA,NA,1980-01-26
12.098333333333333,58813.0,NA,NA,NA,1980-01-27
12.086666666666666,58785.0,NA,NA,NA,1980-01-28
12.121666666666666,58811.0,NA,NA,NA,1980-01-29
12.138333333333334,58812.0,NA,NA,NA,1980-01-30
12.145,58814.0,NA,NA,NA,1980-01-31
12.131666666666666,58817.0,NA,NA,NA,1980-02-01
12.13,58816.0,NA,NA,NA,1980-02-02
12.111666666666666,58818.0,NA,NA,NA,1980-02-03
12.131666666666666,58814.0,NA,NA,NA,1980-02-04
12.118333333333334,58817.0,NA,NA,NA,1980-02-05
12.1,58809.0,NA,NA,NA,1980-02-06
12.116666666666667,58809.0,NA,NA,NA,1980-02-07
12.108333333333333,58809.0,NA,NA,NA,1980-02-08
12.125,58810.0,NA,NA,NA,1980-02-09
12.13,58813.0,NA,NA,NA,1980-02-10
12.13,58814.0,NA,NA,NA,1980-02-11
12.123333333333333,58815.0,NA,NA,NA,1980-02-12
12.128333333333334,58813.0,NA,NA,NA,1980-02-13
12.123333333333333,58811.0,NA,NA,NA,1980-02-14
NA,NA,NA,NA,NA,1980-02-15
NA,NA,NA,NA,NA,1980-02-16
NA,NA,NA,NA,NA,1980-02-17
NA,NA,NA,NA,NA,1980-02-18
NA,NA,NA,NA,NA,1980-02-19
NA,NA,NA,NA,NA,1980-02-20
12.136666666666667,58818.0,NA,NA,NA,1980-02-21
12.133333333333333,58815.0,NA,NA,NA,1980-02-22
12.123333333333333,58813.0,NA,NA,NA,1980-02-23
12.13,58815.0,NA,NA,NA,1980-02-24
12.135,58815.0,NA,NA,NA,1980-02-25
12.123333333333333,58811.0,NA,NA,NA,1980-02-26
12.125,58811.0,NA,NA,NA,1980-02-27
12.131666666666666,58812.0,NA,NA,NA,1980-02-28
12.13,58815.0,NA,NA,NA,1980-02-29
12.125,58812.0,NA,NA,NA,1980-03-01
12.13,58811.0,NA,NA,NA,1980-03-02
12.131666666666666,58812.0,NA,NA,NA,1980-03-03
12.138333333333334,58815.0,NA,NA,NA,1980-03-04
12.143333333333333,58810.0,NA,NA,NA,1980-03-05
12.143333333333333,58815.0,NA,NA,NA,1980-03-06
12.13,58810.0,NA,NA,NA,1980-03-07
12.13,58808.0,NA,NA,NA,1980-03-08
12.121666666666666,58810.0,NA,NA,NA,1980-03-09
12.123333333333333,58811.0,NA,NA,NA,1980-03-10
12.126666666666667,58813.0,NA,NA,NA,1980-03-11
12.126666666666667,58813.0,NA,NA,NA,1980-03-12
12.128333333333334,58812.0,NA,NA,NA,1980-03-13
12.13,58809.0,NA,NA,NA,1980-03-14
12.131666666666666,58810.0,NA,NA,NA,1980-03-15
12.13,58811.0,NA,NA,NA,1980-03-16
NA,NA,NA,NA,NA,1980-03-17
NA,NA,NA,NA,NA,1980-03-18
NA,NA,NA,NA,NA,1980-03-19
12.145,58808.0,NA,NA,NA,1980-03-20
12.138333333333334,58804.0,NA,NA,NA,1980-03-21
12.13,58802.0,NA,NA,NA,1980-03-22
12.136666666666667,58803.0,NA,NA,NA,1980-03-23
12.143333333333333,58807.0,NA,NA,NA,1980-03-24
NA,NA,NA,NA,NA,1980-03-25
NA,NA,NA,NA,NA,1980-03-26
NA,NA,NA,NA,NA,1980-03-27
NA,NA,NA,NA,NA,1980-03-28
NA,NA,NA,NA,NA,1980-03-29
NA,NA,NA,NA,NA,1980-03-30
NA,NA,NA,NA,NA,1980-03-31
NA,NA,NA,NA,NA,1980-04-01
NA,NA,NA,NA,NA,1980-04-02
NA,NA,NA,NA,NA,1980-04-03
12.136666666666667,58806.0,NA,NA,NA,1980-04-04
12.141666666666667,58806.0,NA,NA,NA,1980-04-05
12.12,58778.0,NA,NA,NA,1980-04-06
12.146666666666667,58802.0,NA,NA,NA,1980-04-07
12.143333333333333,58801.0,NA,NA,NA,1980-04-08
12.146666666666667,58802.0,NA,NA,NA,1980-04-09
12.146666666666667,58804.0,NA,NA,NA,1980-04-10
12.145,58804.0,NA,NA,NA,1980-04-11
12.145,58800.0,NA,NA,NA,1980-04-12
12.15,58804.0,NA,NA,NA,1980-04-13
12.148333333333333,58804.0,NA,NA,NA,1980-04-14
12.16,58801.0,NA,NA,NA,1980-04-15
12.145,58805.0,NA,NA,NA,1980-04-16
12.15,58804.0,NA,NA,NA,1980-04-17
12.145,58804.0,NA,NA,NA,1980-04-18
12.145,58807.0,NA,NA,NA,1980-04-19
12.148333333333333,58806.0,NA,NA,NA,1980-04-20
12.148333333333333,58808.0,NA,NA,NA,1980-04-21
12.151666666666667,58806.0,NA,NA,NA,1980-04-22
12.156666666666666,58806.0,NA,NA,NA,1980-04-23
12.15,58805.0,NA,NA,NA,1980-04-24
12.145,58806.0,NA,NA,NA,1980-04-25
12.146666666666667,58806.0,NA,NA,NA,1980-04-26
12.143333333333333,58808.0,NA,NA,NA,1980-04-27
NA,NA,NA,NA,NA,1980-04-28
NA,NA,NA,NA,NA,1980-04-29
NA,NA,NA,NA,NA,1980-04-30
12.143333333333333,58805.0,NA,NA,NA,1980-05-01
12.14,58808.0,NA,NA,NA,1980-05-02
12.141666666666667,58805.0,NA,NA,NA,1980-05-03
12.146666666666667,58805.0,NA,NA,NA,1980-05-04
12.143333333333333,58807.0,NA,NA,NA,1980-05-05
12.148333333333333,58802.0,NA,NA,NA,1980-05-06
12.143333333333333,58805.0,NA,NA,NA,1980-05-07
12.148333333333333,58803.0,NA,NA,NA,1980-05-08
12.153333333333334,58803.0,NA,NA,NA,1980-05-09
12.141666666666667,58804.0,NA,NA,NA,1980-05-10
12.15,58803.0,NA,NA,NA,1980-05-11
12.148333333333333,58799.0,NA,NA,NA,1980-05-12
12.148333333333333,58805.0,NA,NA,NA,1980-05-13
12.141666666666667,58802.0,NA,NA,NA,1980-05-14
12.146666666666667,58805.0,NA,NA,NA,1980-05-15
12.145,58804.0,NA,NA,NA,1980-05-16
12.146666666666667,58805.0,NA,NA,NA,1980-05-17
12.145,58806.0,NA,NA,NA,1980-05-18
12.145,58804.0,NA,NA,NA,1980-05-19
12.146666666666667,58805.0,NA,NA,NA,1980-05-20
12.146666666666667,58804.0,NA,NA,NA,1980-05-21
12.143333333333333,58808.0,NA,NA,NA,1980-05-22
12.146666666666667,58803.0,NA,NA,NA,1980-05-23
12.148333333333333,58803.0,NA,NA,NA,1980-05-24
12.16,58801.0,NA,NA,NA,1980-05-25
12.153333333333334,58802.0,NA,NA,NA,1980-05-26
12.148333333333333,58804.0,NA,NA,NA,1980-05-27
12.146666666666667,58806.0,NA,NA,NA,1980-05-28
NA,NA,NA,NA,NA,1980-05-29
12.145,58808.0,NA,NA,NA,1980-05-30
12.153333333333334,58804.0,NA,NA,NA,1980-05-31
12.141666666666667,58799.0,NA,NA,NA,1980-06-01
NA,NA,NA,NA,NA,1980-06-02
12.15,58805.0,NA,NA,NA,1980-06-03
12.148333333333333,58806.0,NA,NA,NA,1980-06-04
NA,NA,NA,NA,NA,1980-06-05
12.153333333333334,58808.0,NA,NA,NA,1980-06-06
12.158333333333333,58806.0,NA,NA,NA,1980-06-07
12.155,58801.0,NA,NA,NA,1980-06-08
12.146666666666667,58806.0,NA,NA,NA,1980-06-09
12.151666666666667,58804.0,NA,NA,NA,1980-06-10
12.146666666666667,58799.0,NA,NA,NA,1980-06-11
NA,NA,NA,NA,NA,1980-06-12
NA,NA,NA,NA,NA,1980-06-13
12.148333333333333,58807.0,NA,NA,NA,1980-06-14
12.15,58807.0,NA,NA,NA,1980-06-15
12.148333333333333,58807.0,NA,NA,NA,1980-06-16
NA,NA,NA,NA,NA,1980-06-17
12.155,58809.0,NA,NA,NA,1980-06-18
12.155,58809.0,NA,NA,NA,1980-06-19
12.151666666666667,58809.0,NA,NA,NA,1980-06-20
12.156666666666666,58807.0,NA,NA,NA,1980-06-21
12.153333333333334,58808.0,NA,NA,NA,1980-06-22
12.155,58807.0,NA,NA,NA,1980-06-23
NA,NA,NA,NA,NA,1980-06-24
12.155,58806.0,NA,NA,NA,1980-06-25
12.146666666666667,58801.0,NA,NA,NA,1980-06-26
NA,NA,NA,NA,NA,1980-06-27
NA,NA,NA,NA,NA,1980-06-28
NA,NA,NA,NA,NA,1980-06-29
NA,NA,NA,NA,NA,1980-06-30
NA,NA,NA,NA,NA,1980-07-01
NA,NA,NA,NA,NA,1980-07-02
NA,NA,NA,NA,NA,1980-07-03
12.143333333333333,58806.0,NA,NA,NA,1980-07-04
12.15,58803.0,NA,NA,NA,1980-07-05
12.151666666666667,58805.0,NA,NA,NA,1980-07-06
12.151666666666667,58804.0,NA,NA,NA,1980-07-07
12.15,58802.0,NA,NA,NA,1980-07-08
12.146666666666667,58803.0,NA,NA,NA,1980-07-09
12.146666666666667,58806.0,NA,NA,NA,1980-07-10
12.148333333333333,58804.0,NA,NA,NA,1980-07-11
12.146666666666667,58803.0,NA,NA,NA,1980-07-12
12.15,58804.0,NA,NA,NA,1980-07-13
12.151666666666667,58804.0,NA,NA,NA,1980-07-14
12.145,58798.0,NA,NA,NA,1980-07-15
12.155,58804.0,NA,NA,NA,1980-07-16
12.155,58804.0,NA,NA,NA,1980-07-17
12.165,58802.0,NA,NA,NA,1980-07-18
12.153333333333334,58796.0,NA,NA,NA,1980-07-19
12.148333333333333,58801.0,NA,NA,NA,1980-07-20
12.156666666666666,58800.0,NA,NA,NA,1980-07-21
12.155,58801.0,NA,NA,NA,1980-07-22
